Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Egrifta,tesamorelin,Kendle International,BLA,22505,,,Powder,Subcutaneous,,,,,5/29/2009,11/10/2010,2010,,"EGRIFTA (tesamorelin for injection) is indicated for the reduction of excess abdominal fat in HIV-infected patients with lipodystrophy.  
Limitations of Use: 
- Since the long-term cardiovascular safety and potential long-term cardiovascular benefit of EGRIFTA treatment have not been studied and are not known, careful consideration should be given whether to continue EGRIFTA treatment in patients who do not show a clear efficacy response as judged by the degree of reduction in visceral adipose tissue measured by waist circumference or CT scan. 
- EGRIFTA is not indicated for weight loss management (weight neutral effect).  
- There are no data to support improved compliance with anti-retroviral therapies in HIV-positive patients taking EGRIFTA. ",Standard,No,No,N/A,No,N/A,No,No,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Halaven,eribulin mesylate,Eisai,NDA,201532,,,Solution,Intravenous,,,,,3/30/2010,11/15/2010,2010,,HALAVEN is indicated for the treatment of patients with metastatic breast cancer who have previously received at least two chemotherapeutic regimens for the treatment of metastatic disease.  Prior therapy should have included an anthracycline and a taxane in either the adjuvant or metastatic setting.,Priority,No,No,N/A,Yes,N/A,No,No,
DaTscan,ioflupane I 123,GE Healthcare,NDA,22454,,,Solution,Intravenous,,,,,3/9/2009,1/14/2011,2011,,"DaTscan is a radiopharmaceutical indicated for striatal dopamine transporter visualization using single photon emission computed tomography (SPECT) brain imaging to assist in the evaluation of adult patients with suspected Parkinsonian syndromes (PS).  In these patients, DaTscan may be used to help differentiate essential tremor from tremor due to PS (idiopathic Parkinson’s disease, multiple system atrophy and progressive supranuclear palsy). DaTscan is an adjunct to other diagnostic evaluations.",Priority,No,No,N/A,No,N/A,No,No,
Natroba,spinosad,Parapro,NDA,22408,,,Suspension,Topical,,,,,1/22/2009,1/18/2011,2011,,"NATROBA (spinosad) Topical Suspension is indicated for the topical treatment of head lice infestation in patients four (4) years of age and older.  
Adjunctive Measures:
NATROBA Topical Suspension should be used in the context of an overall lice management program:  
- Wash (in hot water) or dry-clean all recently worn clothing, hats, used bedding and towels.  
- Wash personal care items such as combs, brushes and hair clips in hot water.  
- A fine-tooth comb or special nit comb may be used to remove dead lice and nits.",Standard,No,No,N/A,No,N/A,No,No,
Viibryd,vilazodone hydrochloride,Trovis Pharmaceuticals,NDA,22567,,,Tablet,Oral,,,,,3/22/2010,1/21/2011,2011,,"VIIBRYD is indicated for the treatment of major depressive disorder (MDD). The efficacy of VIIBRYD was established in two 8-week, randomized, double-blind, placebo-controlled trials in adult patients with a diagnosis of MDD. 
Major depressive disorder consists of one or more major depressive episodes. A major depressive episode (DSM-IV-TR) implies a prominent and relatively persistent (nearly every day for at least 2 weeks) depressed or dysphoric mood that usually interferes with daily functioning, and includes at least 5 of the following 9 symptoms: depressed mood, loss of interest in usual activities, significant change in weight and/or appetite, insomnia or hypersomnia, psychomotor agitation or retardation, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, or a suicide attempt or suicidal ideation.",Standard,No,No,N/A,No,N/A,No,No,
Edarbi,azilsartan medoxomil,Takeda Pharmaceuticals,NDA,200796,,,Tablet,Oral,,,,,4/27/2010,2/25/2011,2011,,Edarbi is an angiotensin II receptor blocker (ARB) indicated for the treatment of hypertension.  It may be used alone or in combination with other antihypertensive agents.,Standard,No,No,N/A,No,N/A,No,No,
Daliresp,roflumilast,Forest Research Institute,NDA,22522,,,Tablet,Oral,,,,,7/17/2009,2/28/2011,2011,,"DALIRESP is indicated as a treatment to reduce the risk of COPD exacerbations in patients with severe COPD associated with chronic bronchitis and a history of exacerbations.  
Limitations of Use: 
DALIRESP is not a bronchodilator and is not indicated for the relief of acute bronchospasm.",Standard,No,No,N/A,No,N/A,No,No,
Benlysta,belimumab,Human Genome Sciences,BLA,125370,,,Injectable,Injection,,,,,6/9/2010,3/9/2011,2011,,"BENLYSTA (belimumab) is indicated for the treatment of adult patients with active, autoantibody-positive, systemic lupus erythematosus (SLE) who are receiving standard therapy.  
Limitations of Use:  
The efficacy of BENLYSTA has not been evaluated in patients with severe active lupus nephritis or severe active central nervous system lupus.  BENLYSTA has not been studied in combination with other biologics or intravenous cyclophosphamide. Use of BENLYSTA is not recommended in these situations.",Priority,No,No,N/A,Yes,N/A,No,No,
Gadavist,gadobutrol,Bayer HealthCare Pharmaceuticals,NDA,201277,,,Solution,Intravenous,,,,,5/14/2010,3/14/2011,2011,,Gadavast is a gadolinium-based contrast agent indicated for intravenous use in diagnostic magnetic resonance imaging (MRI) in adults and children (2 years of age and older) to detect and visualize areas with disrupted blood brain barrier (BBB) and/or abnormal vascularity of the central nervous system.,Standard,No,No,N/A,No,N/A,No,No,
Yervoy,ipilimumab,Bristol-Myers Squibb,BLA,125377,,,Injectable,Injection,,,,,6/25/2010,3/25/2011,2011,,YERVOY (ipilimumab) is indicated for the treatment of unresectable metastatic melanoma.,Priority,Yes,No,N/A,Yes,N/A,No,No,
Caprelsa,vandetanib,AstraZeneca Pharmaceuticals,NDA,22405,,,Tablet,Oral,,,,,7/7/2010,4/6/2011,2011,,"Vandetanib is indicated for the treatment of symptomatic or progressive medullary thyroid cancer in patients with unresectable locally advanced or metastatic disease.  
Use of vandetanib in patients with indolent, asymptomatic or slowly progressing disease should be carefully considered because of the treatment related risks of vandetanib.",Priority,Yes,No,N/A,Yes,N/A,No,No,
Horizant,gabapentin enacarbil,GlaxoSmithKline,NDA,22399,,,"Tablet, Extended Release",Oral,,,,,1/9/2009,4/6/2011,2011,,"HORIZANT (gabapentin enacarbil) Extended-Release Tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS) in adults.  
HORIZANT is not recommended for patients who are required to sleep during the daytime and remain awake at night.",Standard,No,No,N/A,No,N/A,No,No,
Zytiga,abiraterone acetate,Ortho Biotech Oncology Research and Development,NDA,202379,,,Tablet,Oral,,,,,12/20/2010,4/28/2011,2011,,ZYTIGA in combination with prednisone is indicated for the treatment of patients with metastatic castration-resistant prostate cancer (CRPC) who have received prior chemotherapy containing docetaxel.,Priority,No,No,N/A,No,N/A,No,No,
Tradjenta,linagliptin,Boehringer Ingelheim Pharmaceuticals,NDA,201280,,,Tablet,Oral,,,,,7/2/2010,5/2/2011,2011,,"Monotherapy and Combination Therapy:
TRADJENTA tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. 
Important Limitations of Use:
TRADJENTA should not be used in patients with type 1 diabetes for the treatment of diabetic ketoacidosis, as it would not be effective in these settings.
TRADJENTA has not been studied in combination with insulin.",Standard,No,No,N/A,No,N/A,No,No,
Victrelis,boceprevir,Schering,NDA,202258,,,Capsule,Oral,,,,,11/15/2010,5/13/2011,2011,,"VICTRELIS (boceprevir) is indicated for the treatment of chronic hepatitis C genotype 1 infection, in combination with peginterferon alfa and ribavirin, in adult patients (18 years and older) with compensated liver disease, including cirrhosis, who are previously untreated or who have failed previous interferon and ribavirin therapy.  
The following points should be considered when initiating VICTRELIS for treatment of chronic hepatitis C infection:  
- VICTRELIS must not be used as monotherapy and should only be used in combination with peginterferon alfa and ribavirin.  
- VICTRELIS efficacy has not been studied in patients who have previously failed therapy with a treatment regimen that includes VICTRELIS or other HCV NS3/4A protease inhibitors.  
- VICTRELIS in combination with peginterferon alfa and ribavirin has not been studied in patients documented to be historical null responders (less than a 2-log10 HCV-RNA decline by treatment week 12) during prior therapy with peginterferon alfa and ribavirin. The clinical studies included subjects who were poorly interferon responsive. Subjects with less than 0.5-log10 HCV-RNA decline in viral load at Treatment Week 4 with peginterferon alfa plus ribavirin alone are predicted to have a null response (less than 2-log10 viral load decline at Treatment Week 12) to peginterferon alfa and ribavirin therapy.  
- Poorly interferon responsive patients who were treated with VICTRELIS in combination with peginterferon alfa and ribavirin have a lower likelihood of achieving a sustained virologic response (SVR), and a higher rate of detection of resistance-associated substitutions upon treatment failure, compared to patients with a greater response to peginterferon alfa and ribavirin.",Priority,No,No,N/A,Yes,N/A,No,No,
Edurant,rilpivirine,Tibotec,NDA,202022,,,Tablet,Oral,,,,,7/23/2010,5/20/2011,2011,,"EDURANT, in combination with other antiretroviral agents, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in antiretroviral treatment-naïve adult patients.  
This indication is based on Week 48 safety and efficacy analyses from 2 randomized, double-blind, active controlled, Phase 3 trials in treatment-naïve subjects and Week 96 safety and efficacy analyses from a Phase 2b trial in treatment-naïve subjects.  
The following points should be considered when initiating therapy with EDURANT:  
- More EDURANT treated subjects with HIV-1 RNA greater than 100,000 copies/mL at the start of therapy experienced virologic failure compared to subjects with HIV-1 RNA less than 100,000 copies/mL at the start of therapy.  
- The observed virologic failure rate in EDURANT treated subjects conferred a higher rate of overall treatment resistance and cross-resistance to the NNRTI class compared to efavirenze.  
- More subjects treated with EDURANT developed lamivudine/emtricitabine associated resistance compared to efavirenz.",Standard,No,No,N/A,No,N/A,No,No,
Incivek,telaprevir,Vertex Pharmaceuticals,NDA,201917,,,Tablet,Oral,,,,,11/23/2010,5/23/2011,2011,,"INCIVEK (telaprevir), in combination with peginterferon alfa and ribavirin, is indicated for the treatment of genotype 1 chronic hepatitis C in adult patients with compensated liver disease, including cirrhosis, who are treatment-naïve or who have previously been treated with interferon-based treatment, including prior null responders, partial responders, and relapsers.  
The following points should be considered when initiating treatment with INCIVEK: 
- INCIVEK must not be administered as monotherapy and must only be prescribed with both peginterferon alfa and ribavirin.  
- A high proportion of previous null responders (particularly those with cirrhosis) did not achieve a Sustained Virologic Response (SVR) and had telaprevir resistance-associated substitutions emerge on treatment with INCIVEK combination treatment. 
- INCIVEK efficacy has not been established for patients who have previously failed therapy with a treatment regimen that includes INCIVEK or other HCV NS3/4A protease inhibitors. ",Priority,No,No,N/A,Yes,N/A,No,No,
Dificid,fidaxomicin,Optimer Pharmaceuticals,NDA,201699,,,Tablet,Oral,,,,,11/30/2010,5/27/2011,2011,,"To reduce the development of drug-resistant bacteria and maintain the effectiveness of DIFICID and other antibacterial drugs, DIFICID should be used only to treat infections that are proven or strongly suspected to be caused by Clostridium difficile.  
DIFICID is a macrolide antibacterial drug indicated in adults (>=18 years of age) for treatment of Clostridium difficile-associated diarrhea (CDAD).",Priority,No,No,N/A,Yes,N/A,No,No,
Potiga,ezogabine,Valeant Pharmaceuticals,NDA,22345,,,Tablet,Oral,,,,,10/30/2009,6/10/2011,2011,,POTIGA is indicated as adjunctive treatment of partial-onset seizures in patients aged 18 years and older.,Standard,No,No,N/A,No,N/A,No,No,
Nulojix,belatacept,Bristol-Myers Squibb,BLA,125288,,,Injectable,Injection,,,,,7/1/2009,6/15/2011,2011,,"NULOJIX (belatacept) is indicated for prophylaxis of organ rejection in adult patients receiving a kidney transplant.  NULOJIX is to be used in combination with basiliximab induction, mycophenolate mofetil, and corticosteroids.  
Limitations of use:  
Use NULOJIX only in patients who are EBV seropositive.  
Use of NULOJIX for the prophylaxis of organ rejection in transplanted organs other than kidney has not been established.",Standard,Yes,No,N/A,Yes,N/A,No,No,
Arcapta Neohaler,indacaterol,Novartis Pharmaceuticals,NDA,22383,,,Powder,Inhalation,,,,,12/18/2008,7/1/2011,2011,,"ARCAPTA NEOHALER is a long-acting beta2-agonist indicated for long-term, once-daily maintenance bronchodilator treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema. 
Important Limitations of Use:  
ARCAPTA NEOHALER is not indicated to treat acute deteriorations of chronic obstructive pulmonary disease.  
ARCAPTA NEOHALER is not indicated to treat asthma.  The safety and effectiveness of ARCAPTA NEOHALER in asthma have not been established.",Standard,No,No,N/A,No,N/A,No,No,
Xarelto,rivaroxaban,Johnson & Johnson,NDA,22406,,,Tablet,Oral,,,,,7/28/2008,7/1/2011,2011,,"XARELTO (rivaroxaban) Tablets are indicated for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE) in patients undergoing knee or hip replacement surgery.",Standard,No,No,N/A,No,N/A,No,No,
Brilinta,ticagrelor,AstraZeneca Pharmaceuticals,NDA,22433,,,Tablet,Oral,,,,,11/16/2009,7/20/2011,2011,,"BRILINTA is a P2Y12 platelet inhibitor indicated to reduce the rate of thrombotic cardiovascular events in patients with acute coronary syndrome (ACS) (unstable angina, non-ST elevation myocardial infarction, or ST elevation myocardial infarction). BRILINTA has been shown to reduce the rate of a combined endpoint of cardiovascular death, myocardial infarction or stroke compared to clopidogrel. The difference between treatments was driven by CV death and MI with no difference in stroke. In patients treated with PCI, it also reduces the rate of stent thrombosis.  
BRILINTA has been studied in ACS in combination with aspirin.  Maintenance doses of aspirin above 100 mg decreased the effectiveness of BRILINTA.  Avoid maintenance doses of aspirin above 100 mg daily. ",Standard,No,No,N/A,No,N/A,No,No,
Zelboraf,vemurafenib,Hoffmann-La Roche,NDA,202429,,,Tablet,Oral,,,,,4/28/2011,8/17/2011,2011,,"ZELBORAF is indicated for the treatment of patients with unresectable or metastatic melanoma with BRAFV600E mutation as detected by an FDA-approved test.  
Limitation of Use:  ZELBORAF is not recommended for use in patients with wild-type BRAF melanoma. ",Priority,Yes,No,N/A,Yes,N/A,No,No,
Adcetris,brentuximab vedotin,Seattle Genetics,BLA,125388,,,Injectable,Injection,,,,,2/28/2011,8/19/2011,2011,,"These indications are based on response rate.  There are no data available demonstrating improvement in patient reported outcomes or survival with ADCETRIS. 
[A] ADCETRIS (brentuximab vedotin) is indicated for treatment of patients with Hodgkin lymphoma (HL) after failure of autologous stem cell transplant (ASCT) or after failure of at least two prior multi-agent chemotherapy regimens in patients who are not ASCT candidates.  
[B] ADCETRIS is indicated for the treatment of patients with systemic anaplastic large cell lymphoma (sALCL) after failure of at least one prior multi-agent chemotherapy regimen.",Priority,Yes,Yes,N/A,Yes (indication [A] only),N/A,No,No,
Firazyr,icatibant,Shire Orphan Therapies,NDA,22150,,,Injectable,Subcutaneous,,,,,10/26/2007,8/25/2011,2011,,FIRAZYR (icatibant) is indicated for the treatment of acute attacts of hereditary angioedema (HAE) in adults 18 years of age and older.,Priority,Yes,No,N/A,Yes,N/A,No,No,
Xalkori,crizotinib,Pfizer,NDA,202570,,,Capsule,Oral,,,,,3/30/2011,8/26/2011,2011,,"XALKORI is indicated for the treatment of patients with locally advanced metastatic non-small cell lung cancer (NSCLC) that is anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.  
This indication is based on response rate.  There are no data available demonstrating improvement in patient reported outcomes or survival with XALKORI.",Priority,Yes,Yes,N/A,Yes,N/A,No,No,
Ferriprox,deferiprone,ApoPharma,NDA,21825,,,Tablet,Oral,,,,,1/30/2009,10/14/2011,2011,,"FERRIPROX (deferiprone) is indicated for the treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate. 
Approval is based on a reduction in serum ferritin levels.  There are no controlled trials demonstrating a direct treatment benefit, such as improvement in disease-related symptoms, functioning, or increased survival.  
Limitation of Use:  
- Safety and effectiveness have not been established for the treatment of transfusional iron overload in patients with other chronic anemias.",Standard,Yes,Yes,N/A,Yes,N/A,No,No,
Onfi,clobazam,Lundbeck,NDA,202067,,,Tablet,Oral,,,,,12/23/2010,10/21/2011,2011,,ONFI (clobazam) is indicated for the adjunctive treatment of seizures associated with Lennox-Gastaut syndrome (LGS) in patients 2 years of age or older.,Standard,Yes,No,N/A,No,N/A,No,No,
Jakafi,ruxolitinib,Incyte,NDA,202192,,,Tablet,Oral,,,,,6/3/2011,11/16/2011,2011,,"Jakafi is indicated for treatment of patients with intermediate or high-risk myelofibrosis, including primary myelofibrosis, post-polycythemia vera myelofibrosis and post-essential thrombocythemia myelofibrosis.",Priority,Yes,No,N/A,Yes,N/A,No,No,
Erwinaze,asparaginase Erwinia chrysanthemi,EUSA Pharma,BLA,125359,,,Injectable,Injection,,,,,11/1/2010,11/18/2011,2011,,ERWINAZE (asparaginase Erwinia chrysanthemi) is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL) who have developed hypersensitivity to E. coli-derived asparaginase.,Priority,Yes,No,N/A,Yes,N/A,No,No,
Eylea,aflibercept,Regeneron Pharmaceuticals,BLA,125387,,,Injectable,Injection,,,,,2/18/2011,11/18/2011,2011,,EYLEA is indicated for the treatment of patients with Neovascular (Wet) Age-Related Macular Degeneration (AMD).,Priority,No,No,N/A,No,N/A,No,No,
Voraxaze,glucarpidase,BTG International,BLA,125327,,,Injectable,Injection,,,,,7/18/2011,1/17/2012,2012,,"VORAXAZE (glucarpidase) is indicated for the treatment of toxic plasma methotrexate concentrations (>1 micromole per liter) in patients with delayed methotrexate clearance due to impaired renal function.  
Limitation of Use:
VORAXAZE is not indicated for use in patients who exhibit the expected clearance of methotrexate (plasma methotrexate concentrations within 2 standard deviations of the mean methotrexate excretion curve specific for the dose of methotrexate administered) or those with normal or mildly impaired renal function because of the potential risk of subtherapeutic exposure to methotrexate.",Priority,Yes,No,N/A,Yes,N/A,No,No,
Picato,ingenol mebutate,Leo Pharma,NDA,202833,,,Gel,Topical,,,,,3/25/2011,1/23/2012,2012,,Picato gel is indicated for the topical treatment of actinic keratosis.,Standard,No,No,N/A,No,N/A,No,No,
Inlyta,axitinib,Pfizer,NDA,202324,,,Tablet,Oral,,,,,4/14/2011,1/27/2012,2012,,INLYTA is indicated for the treatment of advanced renal cell carcinoma (RCC) after failure of one prior systemic therapy.,Standard,No,No,N/A,Yes,N/A,No,No,
Erivedge,vismodegib,Genentech,NDA,203388,,,Capsule,Oral,,,,,9/8/2011,1/30/2012,2012,,"ERIVEDGE capsule is indicated for the treatment of adults with metastatic basal cell carcinoma, or with locally advanced basal cell carcinoma that has recurred following surgery or who are not candidates for surgery, and who are not candidates for radiation.  ",Priority,No,No,N/A,No,N/A,No,No,
Kalydeco,ivacaftor,Vertex Pharmaceuticals,NDA,203188,,,Tablet,Oral,,,,,10/18/2011,1/31/2012,2012,,"KALYDECO is classified as a cystic fibrosis transmembrane conductance regulator (CFTR) potentiator. KALYDECO is indicated for the treatment of cystic fibrosis (CF) in patients age 6 years and older who have a G551D mutation in the CFTR gene. If the patient’s genotype is unknown, an FDA-cleared CF mutation test should be used to detect the presence of the G551D mutation.
Limitations of Use:
KALYDECO is not effective in patients with CF who are homozygous for the F508del mutation in the CFTR gene and has not been studied in other populations of patients with CF.",Priority,Yes,No,N/A,Yes,N/A,No,No,
Zioptan,tafluprost,Merck,NDA,202514,,,Solution/Drops,Ophthalmic,,,,,1/7/2011,2/10/2012,2012,,ZIOPTAN (tafluprost ophthalmic solution) 0.0015% is indicated for reducing elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.,Standard,No,No,N/A,No,N/A,No,No,
Surfaxin,lucinactant,Discovery Laboratories,NDA,21746,,,Suspension,Intratracheal,,,,,4/13/2004,3/6/2012,2012,,SURFAXIN (lucinactant) Intratracheal Suspension is indicated for the prevention of respiratory distress syndrome (RDS) in premature infants at high risk for RDS.  SURFAXIN reduces the incidence of RDS at 24 hours and mortality due to RDS.  ,Standard,No,No,N/A,Yes,N/A,No,No,
Omontys,peginesatide,Affymax,NDA,202799,,,Solution,"Intravenous, Subcutaneous",,,,,5/27/2011,3/27/2012,2012,,"OMONTYS is indicated for the treatment of anemia due to chronic kidney disease (CKD) in adult patients on dialysis.  
Limitations of Use:
OMONTYS is not indicated and is not recommended for use: 
- In patients with CKD not on dialysis because of safety concerns in this population.  
- In patients receiving treatment for cancer and whose anemia is not due to CKD, because ESAs have shown harm in some settings and the benefit-risk factors for OMONTYS in this setting have not been evaluated.  
- As a substitute for RBC transfusions in patients who require immediate correction of anemia.  
- OMONTYS has not been shown to improve symptoms, physical functioning or health-related quality of life.",Standard,No,No,N/A,No,N/A,No,No,
Amyvid,florbetapir F 18,Avid Radiopharmaceuticals,NDA,202008,,,Solution,Intravenous,,,,,9/17/2010,4/6/2012,2012,,"Amyvid is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate beta-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer’s Disease (AD) and other causes of cognitive decline. A negative Amyvid scan indicates sparse to no neuritic plaques and is inconsistent with a neuropathological diagnosis of AD at the time of image acquisition; a negative scan result reduces the likelihood that a patient’s cognitive impairment is due to AD. A positive Amyvid scan indicates moderate to frequent amyloid neuritic plaques; neuropathological examination has shown this amount of amyloid neuritic plaque is present in patients with AD, but may also be present in patients with other types of neurologic conditions as well as older people with normal cognition. Amyvid is an adjunct to other diagnostic evaluations.
Limitations of Use:
- A positive Amyvid scan does not establish a diagnosis of AD or other cognitive disorder. 
- Safety and effectiveness of Amyvid have not been established for: 
-- predicting development of dementia or other neurologic condition; 
-- monitoring responses to therapies.",Priority,No,No,N/A,No,N/A,No,No,
Stendra,avanafil,Vivus,NDA,202276,,,Tablet,Oral,,,,,6/29/2011,4/27/2012,2012,,STENDRA is a phosphodieasterase 5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction. ,Standard,No,No,N/A,No,N/A,No,No,
Elelyso,taliglucerase alfa,Protalix,BLA,22458,,,Powder,Intravenous,,,,,4/26/2010,5/1/2012,2012,,ELELYSO (taliglucerase alfa) for injection is a hydrolytic lysosomal glucocerebroside-specific enzyme indicated for long-term enzyme replacement therapy (ERT) for adults with a confirmed diagnosis of Type 1 Gaucher disease.  ,Standard,Yes,No,N/A,Yes,N/A,No,No,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Perjeta,pertuzumab,Genentech,BLA,125409,,,Injectable,Injection,,,,,12/8/2011,6/8/2012,2012,,PERJETA is indicated for use in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.,Priority,No,No,N/A,No,N/A,No,No,
Belviq,lorcaserin hydrochloride,Arena Pharmacueticals,NDA,22529,,,Tablet,Oral,,,,,12/22/2009,6/27/2012,2012,,"BELVIQ is indicated as an adjunct to a reduced-calorie diet and increased physical activity for chronic weight management in adult patients with an initial body mass index (BMI) of: 
- 30 kg/m2 or greater (obese), or 
- 27 kg/m2 or greater (overweight) in the presence of at least one weight related comorbid condition (e.g., hypertension, dyslipidemia, type 2 diabetes)  
Limitations of Use: 
- The safety and efficacy of coadministration of BELVIQ with other products intended for weight loss including prescription drugs (e.g., phentermine), over-the-counter drugs, and herbal preparations have not been established  
- The effect of BELVIQ on cardiovascular morbidity and mortality has not been established",Standard,No,No,N/A,No,N/A,No,No,
Myrbetriq,mirabegron,Astellas Pharma,NDA,202611,,,"Tablet, Extended Release",Oral,,,,,8/29/2011,6/28/2012,2012,,"Myrbetriq is a beta-3 adrenergic agonist indicated for the treatment of overactive bladder (OAB) with symptoms of urge urinary incontinence, urgency, and urinary frequency.",Standard,No,No,N/A,No,N/A,No,No,
Prepopik,"sodium picosulfate, magnesium oxide, citric acid",Ferring Pharmaceuticals,NDA,202535,,,For Solution,Oral,,,,,9/16/2011,7/16/2012,2012,,"PREPOPIK (sodium picosulfate, magnesium oxide and anhydrous citric acid) for oral solution is indicated for cleansing of the colon as a preparation for colonoscopy in adults.",Standard,No,No,No,No,No,No,No,
Kyprolis,carfilzomib,Onyx Pharmaceuticals,NDA,202714,,,Powder,Intravenous,,,,,9/27/2011,7/20/2012,2012,,"KYPROLIS is indicated for the treatment of patients with multiple myeloma who have received at least two prior therapies including bortezomib and an immunomodulatory agent and have demonstrated disease progression on or within 60 days of completion of the last therapy.  Approval is based on response rate.  Clinical benefit, such as improvement in survival or symptoms, has not been verified. ",Standard,Yes,Yes,No,Yes,No,No,No,
Tudorza Pressair,aclidinium bromide,Forest Laboratories,NDA,202450,,,"Powder, Metered",Inhalation,,,,,6/23/2011,7/23/2012,2012,,"TUDORZA Pressair (aclidinium bromide inhalation powder) is indicated for the long-term, maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema.",Standard,No,No,No,No,No,No,No,
Zaltrap,ziv-aflibercept,Sanofi-Aventis,BLA,125418,,,Injectable,Injection,,,,,2/3/2012,8/3/2012,2012,,"ZALTRAP, in combination with 5-fluorouracil, leucovorin, irinotecan-(FOLFIRI), is indicated for patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed following an oxaliplatin-containing regimen.",Priority,No,No,No,No,N/A,No,No,
Stribild,"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate",Gilead Sciences,NDA,203100,,,Tablet,Oral,,,,,10/27/2011,8/27/2012,2012,,STRIBILD is indicated as a complete regimen for the treatment of HIV-1 infection in adults who are antiretroviral treatment-naïve. ,Standard,No,No,No,Yes,No,No,No,
Granix,tbo-filgrastim,Sicor Biotech,BLA,125294,,,Injectable,Injection,,,,,11/30/2009,8/29/2012,2012,,Tbo-filgrastim is indicated to reduce the duration of severe neutropenia in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.,Standard,No,No,No,No,N/A,No,No,
Linzess,linaclotide,Forest Laboratories,NDA,202811,,,Capsule,Oral,,,,,8/9/2011,8/30/2012,2012,,"LINZESS (linaclotide) is indicated in adults for the treatment of irritable bowel syndrome with constipation (IBS-C).  
LINZESS is indicated in adults for the treatment of chronic idiopathic constipation (CIC).",Standard,No,No,No,No,No,No,No,
Xtandi,enzalutamide,Medivation,NDA,203415,,,Capsule,Oral,,,,,5/22/2012,8/31/2012,2012,,XTANDI is indicated for the treatment of patients with metastatic castration-resistant prostate cancer who have previously received docetaxel.,Priority,No,No,No,Yes,No,No,No,
Bosulif,bosutinib,Wyeth Pharmaceuticals,NDA,203341,,,Tablet,Oral,,,,,11/17/2011,9/4/2012,2012,,"BOSULIF is indicated for the treatment of adult patients with chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) with resistance or intolerance to prior therapy.",Standard,Yes,No,No,No,No,No,No,
[drug marketed without a proprietary name],choline C 11,Mayo Clinic,NDA,203155,,,Injectable,Intravenous,,,,,12/12/2011,9/12/2012,2012,,"Choline C 11 Injection is indicated for positron emission tomography (PET) imaging of patients with suspected prostate cancer recurrence and non-informative bone scintigraphy, computerized tomography (CT) or magnetic resonance imaging (MRI).  In these patients, 11C-choline PET imaging may help identify potential sites of prostate cancer recurrence for subsequent histologic confirmation.  Suspected prostate recurrence is based upon elevated blood prostate specific antigen (PSA) levels following initial therapy.  In clinical studies, images were produced with PET/CT coregistration. 
Limitation of Use: 11C-choline PET imaging is not a replacement for histologic verification of recurrent prostate cancer.",Priority,No,No,No,No,No,No,No,
Aubagio,teriflunomide,Sanofi-Aventis,NDA,202992,,,Tablet,Oral,,,,,8/12/2011,9/12/2012,2012,,AUBAGIO is indicated for the treatment of patients with relapsing forms of multiple sclerosis.,Standard,No,No,No,No,No,No,No,
Stivarga,regorafenib,Bayer HealthCare Pharmaceuticals,NDA,203085,,,Tablet,Oral,,,,,4/27/2012,9/27/2012,2012,,"Stivarga is indicated for the treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, and anti-VEGF therapy, and, if KRAS wild type, and anti-EGFR therapy.",Priority,No,No,No,Yes,No,No,No,
